,dates,aldpb,aldpc,aldpi,aldpl,aldpo,aldpp,aldqi,aldqj,aldql,aldqm,aldqn,aldqp,aldqq,aldre,aldrh,aldri,aldrm,aldrn,aldrq,aldsb,aldsh,aldsi,aldsj,aldsl,aldso,aldsp,aldsq
0,1860,286.6699949002147,286.16721366151154,291.68215471806684,288.8863104586066,290.2753992450678,288.56969120996916,285.15447708989745,289.3039616703225,287.9797274627807,291.73502050319007,286.64271799656984,284.4930217675441,287.8868095153435,285.24409572128206,290.6693414181725,281.4793075561862,283.9170417494394,288.77620537638325,289.4227370482192,286.5490519483997,288.70436852395704,290.61361750460816,288.02582197716794,287.0859005435539,277.3893641212701,285.68478459915656,287.4303146117282
1,1861,286.5972756725651,285.7598632214252,291.39079825571656,288.645575479181,290.1489126750014,289.97970763488075,286.67260366174474,289.0415701337836,288.0197988071648,293.47654146311635,286.2082249273292,283.7753821619447,288.3054581947032,285.800893669313,291.3231239124963,283.2217108913358,284.315875350413,289.2892490225759,290.69943808611816,286.9345348286019,287.48523287834934,291.9831597616642,288.7678419938311,286.2016071131538,279.36179884074426,286.18457343492827,288.3921419693665
2,1862,287.09881007671356,284.6907889100045,291.8548125308007,288.0320561499419,290.22911290997973,289.76663320050153,287.09974999814716,289.2024885196323,288.7627779273316,294.1052721739238,286.2129053524272,283.71599447299644,289.14118262367657,286.5953958296979,291.58444125311104,285.1730645157989,284.19355128955266,288.6079018935561,289.4417272975922,287.57588734151796,287.78362916041675,292.08029776451764,288.8336940403943,285.2811746627346,281.78758260434154,286.8866371996277,288.479919122024
3,1863,287.1836907367899,284.3392199296928,292.898317142813,288.9530448803932,290.25794356130064,289.5680220469578,288.57556092341173,289.93484077297825,289.59514549404213,294.1360977605323,287.04022803470826,285.0562265269797,289.51145412231034,286.1721626355905,291.28004098311067,286.47531607103616,284.5841941466047,288.3267119283449,288.12696903266686,287.00729242039165,288.06735115887767,291.0839426807466,289.09232589119875,283.637347985694,282.45648056988347,285.9076802534136,288.9997532210228
4,1864,287.88462275935507,284.43403690206736,292.43447550635955,290.5847676712173,290.39235232630745,289.68560813651,288.0208154568787,289.7678800350563,289.76024557116693,294.059024202976,287.6539008205079,287.3659395845607,287.797747163991,286.31462787002835,292.72191882641476,285.4856555297209,284.07947551882404,287.88209072610533,286.76444741325787,285.8745720004663,287.71856357872656,290.04465812415054,289.1973285427825,282.1054870516739,282.34898424919015,284.6196042479608,289.02229215335944
5,1865,288.448460527103,285.04506256219673,292.21986650637433,291.3744167678735,290.62305508308447,290.4164833704602,287.66813391650265,289.3537007780238,289.39895128132775,294.1774351215413,288.49378775868735,288.01765041531655,284.57247390178964,288.17507766441184,292.83992692150855,284.8491177163933,283.8736519069326,287.7856049136343,286.9640752165155,286.85922602149236,288.2742873308333,288.6119876744818,288.6529989402995,282.23045823820445,282.792627165856,285.26569473218507,289.75387712390244
6,1866,289.0227333409712,285.15881223773414,293.64075916501776,291.25525774857533,291.05589849429884,290.54928084158087,287.5532908629711,289.10884165353224,289.43100452042097,294.1653695994649,287.43869717635044,287.7906881622039,284.10209117944095,288.9674314329485,293.6329328804277,285.1002877419391,283.78098332640633,287.6281009362587,288.24256018693137,287.881227532952,289.69124766511163,287.6886970956217,288.1885626596737,283.97602661491624,285.25972910839215,286.63377915191546,288.8299151725898
7,1867,289.6542838160795,284.83064538291234,292.5212551913732,291.85097611678594,291.0713784248483,290.1762471248565,288.84825323158026,289.12215401016346,288.6126590469344,293.24129255573183,286.6114512223496,289.0145234149796,285.0774035323411,289.1245901330628,295.4515465799804,285.3499040198089,283.1705523104492,287.0132772262547,289.20707303437996,287.73928021440616,289.15284532228145,288.5001178418117,288.03525955564425,286.97061630241063,284.1243040165864,285.84491652013224,287.2051171090623
8,1868,289.2832642167129,285.6522709903815,290.19295470789075,291.61783723710954,291.22930440776554,290.1670397312211,288.5687129243954,289.2514027983204,287.46336531846526,291.8238143055615,287.365249030038,289.62301704185927,286.2390121497976,288.7456099746156,294.1494101171636,285.9165040056475,283.8996244298125,287.01204957376996,288.8032137310471,287.9246941037391,289.0022660722025,289.00452955647114,288.4767348983917,290.6943164734085,282.60684881719163,285.5069476275027,286.4727840377864
9,1869,289.3713482824916,286.6043154922822,289.7026034505953,291.21457257794896,291.26561606641513,290.1918996940367,288.20858874083075,288.72132547390225,287.192284304183,291.486900426786,287.9723807299425,289.47239942764014,288.9311005922288,288.58405858045444,292.55152449794963,285.7956186000427,284.4445678585378,287.85047867462373,288.1906918694519,288.6859729187563,289.49687574905425,290.32813075570044,288.7391647990708,291.86643686526537,280.6027061358856,286.26095643796197,286.16964978441086
